ENST_ID_msk	Gene	RefSeq_ID	ENSG_ID	ENST_ID_tissue	TPM
ENST00000400379	ICOSLG	NM_015259.4	ENSG00000160223	ENST00000407780	1.57
ENST00000330062	IDH2	NM_002168.2	ENSG00000182054	ENST00000540499	58.05
ENST00000268035	IGF1R	NM_000875.3	ENSG00000140443	ENST00000558762	3.3
ENST00000434045	IGF2	NM_001127598.1	ENSG00000167244	ENST00000381395	2.53
ENST00000367120	IKBKE	NM_014002.3	ENSG00000263528	ENST00000581977	1.8
ENST00000331340	IKZF1	NM_006060.4	ENSG00000185811	ENST00000346667	0.68
ENST00000262992	INPP4B	NM_001101669.1	ENSG00000109452	ENST00000513000	0.88
ENST00000302850	INSR	NM_000208.2	ENSG00000171105	ENST00000341500	7.61
ENST00000377967	KDM6A	NM_021140.2	ENSG00000147050	ENST00000414389	3.12
ENST00000171111	KEAP1	NM_203500.1	ENSG00000079999	ENST00000393623	11.72
ENST00000374672	KLF4	NM_004235.4	ENSG00000136826	ENST00000497048	16.67
ENST00000377687	KLF5	NM_001730.3	ENSG00000102554	ENST00000539231	12.41
ENST00000607650	KMT2B	NM_014727.3	ENSG00000272333	ENST00000420124	8.17
ENST00000262189	KMT2C	NM_170606.2	ENSG00000055609	ENST00000424877	4.54
ENST00000301067	KMT2D	NM_003482.3	ENSG00000167548	ENST00000526209	11.07
ENST00000249776	KNSTRN	NM_033286.3	ENSG00000128944	ENST00000608100	5.7
ENST00000376667	MAD2L2	NM_001127325.1	ENSG00000116670	ENST00000376692	16.26
ENST00000307102	MAP2K1	NM_002755.3	ENSG00000169032	ENST00000566326	7.98
ENST00000262948	MAP2K2	NM_030662.3	ENSG00000126934	ENST00000394867	35.54
ENST00000399503	MAP3K1	NM_005921.1	ENSG00000095015	ENST00000469188	1.93
ENST00000265026	MAP3K13	NM_004721.4	ENSG00000073803	ENST00000448876	10.13
ENST00000376926	MAP3K14	NM_003954.5	ENSG00000006062	ENST00000592267	3.71
ENST00000265960	MAPKAP1	NM_001006617.1	ENSG00000119487	ENST00000373498	5.48
ENST00000358664	MAX	NM_002382.4	ENSG00000125952	ENST00000358402	14.29
ENST00000376406	MDC1	NM_014641.2	ENSG00000137337	ENST00000489540	4.43
ENST00000462284	MDM2	NM_002392.5	ENSG00000135679	ENST00000540709	7.56
ENST00000367182	MDM4	NM_002393.4	ENSG00000198625	ENST00000367183	2.57
ENST00000424583	MEF2B	NM_001145785.1	ENSG00000213999	ENST00000409224	0.72
ENST00000219905	MGA	NM_001164273.1	ENSG00000174197	ENST00000566586	1.82
ENST00000394351	MITF	NM_000248.3	ENSG00000187098	ENST00000328528	3.72
ENST00000372470	MPL	NM_005373.2	ENSG00000117400	ENST00000413998	0.03
ENST00000233146	MSH2	NM_000251.2	ENSG00000095002	ENST00000543555	1.95
ENST00000449682	MST1	NM_020998.3	ENSG00000173531	ENST00000448220	2.96
ENST00000296474	MST1R	NM_002447.2	ENSG00000164078	ENST00000612032	14.72
ENST00000361445	MTOR	NM_004958.3	ENSG00000198793	ENST00000376838	7.87
ENST00000450313	MUTYH	NM_001128425.1	ENSG00000132781	ENST00000482094	3.07
ENST00000377970	MYC	NM_002467.4	ENSG00000136997	ENST00000524013	11.13
ENST00000281043	MYCN	NM_005378.4	ENSG00000134323	ENST00000638417	0.75
ENST00000378625	NADK	NM_001198994.1	ENSG00000008130	ENST00000341991	17.08
ENST00000268712	NCOR1	NM_006311.3	ENSG00000141027	ENST00000464381	6.5
ENST00000357731	NEGR1	NM_173808.2	ENSG00000172260	ENST00000306821	2.19
ENST00000338641	NF2	NM_000268.3	ENSG00000186575	ENST00000413209	2.84
ENST00000375023	NOTCH4	NM_004557.3	ENSG00000204301	ENST00000491215	5.43
ENST00000296930	NPM1	NM_002520.6	ENSG00000181163	ENST00000517671	203.1
ENST00000439151	NSD1	NM_022455.4	ENSG00000165671	ENST00000354179	4.17
ENST00000524377	NTRK1	NM_002529.3	ENSG00000198400	ENST00000530298	0.14
ENST00000376214	NTRK2	NM_006180.3	ENSG00000148053	ENST00000359847	0.51
ENST00000360948	NTRK3	NM_001012338.2	ENSG00000140538	ENST00000317501	1.08
ENST00000261584	PALB2	NM_024675.3	ENSG00000083093	ENST00000566069	1.93
ENST00000394830	PBRM1	NM_018313.4	ENSG00000163939	ENST00000356770	4.68
ENST00000433979	PIK3C2G	NM_004570.4	ENSG00000139144	ENST00000538779	6.77
ENST00000262039	PIK3C3	NM_002647.2	ENSG00000078142	ENST00000588156	4.51
ENST00000289153	PIK3CB	NM_006219.2	ENSG00000051382	ENST00000469284	2.05
ENST00000359195	PIK3CG	NM_002649.2	ENSG00000105851	ENST00000496166	0.19
ENST00000262741	PIK3R3	NM_003629.3	ENSG00000117461	ENST00000372006	3.45
ENST00000287820	PPARG	NM_015869.4	ENSG00000132170	ENST00000309576	3.88
ENST00000322088	PPP2R1A	NM_014225.5	ENSG00000105568	ENST00000462990	48.45
ENST00000295862	PPP4R2	NM_174907.2	ENSG00000163605	ENST00000356692	6.23
ENST00000369096	PRDM1	NM_001198.3	ENSG00000057657	ENST00000369089	1.2
ENST00000358598	PRKAR1A	NM_212471.2	ENSG00000108946	ENST00000589228	16.97
ENST00000295797	PRKCI	NM_002740.5	ENSG00000163558	ENST00000476635	5.48
ENST00000331968	PRKD1	NM_002742.2	ENSG00000184304	ENST00000616995	1.73
ENST00000331920	PTCH1	NM_000264.3	ENSG00000185920	ENST00000546744	2.91
ENST00000517309	PTDSS1	NM_014754.1	ENSG00000156471	ENST00000337004	13.96
ENST00000381196	PTPRD	NM_002839.3	ENSG00000153707	ENST00000477552	0.15
ENST00000357368	PTPRS	NM_002850.3	ENSG00000105426	ENST00000592099	5.0
ENST00000373198	PTPRT	NM_133170.3	ENSG00000196090	ENST00000612229	0.09
ENST00000356142	RAC1	NM_018890.3	ENSG00000136238	ENST00000348035	71.13
ENST00000487270	RAD51B	NM_133509.3	ENSG00000182185	ENST00000487861	0.21
ENST00000337432	RAD51C	NM_058216.2	ENSG00000108384	ENST00000421782	2.83
ENST00000345365	RAD51D	NM_002878.3	ENSG00000185379	ENST00000394589	0.84
ENST00000442598	RAD54L	NM_001142548.1	ENSG00000085999	ENST00000488942	0.11
ENST00000254066	RARA	NM_000964.3	ENSG00000131759	ENST00000394081	4.79
ENST00000274376	RASA1	NM_002890.2	ENSG00000145715	ENST00000456692	5.93
ENST00000377604	RBM10	NM_001204468.1	ENSG00000182872	ENST00000628161	8.98
ENST00000444129	RECQL	NM_002907.3	ENSG00000004700	ENST00000421138	2.18
ENST00000428558	RECQL4	NM_004260.3	ENSG00000160957	ENST00000301323	1.39
ENST00000309042	REST	NM_001193508.1	ENSG00000084093	ENST00000619101	2.15
ENST00000355710	RET	NM_020975.4	ENSG00000165731	ENST00000340058	0.5
ENST00000367669	RFWD2	NM_022457.5	ENSG00000143207	ENST00000482305	4.45
ENST00000262187	RHEB	NM_005614.3	ENSG00000106615	ENST00000472642	26.32
ENST00000577716	RNF43	NM_017763.4	ENSG00000108375	ENST00000407977	1.07
ENST00000368508	ROS1	NM_002944.2	ENSG00000047936	ENST00000368507	0.01
ENST00000306801	RPTOR	NM_020761.2	ENSG00000141564	ENST00000575542	3.21
ENST00000545643	RRAS2	NM_012250.5	ENSG00000133818	ENST00000537760	5.2
ENST00000370018	RTEL1	NM_032957.4	ENSG00000258366	ENST00000360203	3.17
ENST00000437180	RUNX1	NM_001754.4	ENSG00000159216	ENST00000344691	2.76
ENST00000481739	RXRA	NM_002957.4	ENSG00000186350	ENST00000356384	13.15
ENST00000300175	SCG5	NM_001144757.1	ENSG00000166922	ENST00000413748	1.72
ENST00000366541	SDCCAG8	NM_006642.3	ENSG00000054282	ENST00000497459	5.7
ENST00000301761	SDHAF2	NM_017841.2	ENSG00000167985	ENST00000542074	15.82
ENST00000367975	SDHC	NM_003001.3	ENSG00000143252	ENST00000342751	36.35
ENST00000436639	SESN1	NM_014454.2	ENSG00000080546	ENST00000356644	17.27
ENST00000409792	SETD2	NM_014159.6	ENSG00000181555	ENST00000431180	6.04
ENST00000330479	SETD8	NM_020382.3	ENSG00000183955	ENST00000402868	10.38
ENST00000335508	SF3B1	NM_012433.2	ENSG00000115524	ENST00000424674	52.31
ENST00000394566	SLFN11	NM_001104589.1	ENSG00000172716	ENST00000308377	2.12
ENST00000402690	SMAD2	NM_001003652.3	ENSG00000175387	ENST00000586040	10.27
ENST00000342988	SMAD4	NM_005359.5	ENSG00000141646	ENST00000398417	4.03
ENST00000349721	SMARCA2	NM_003070.3	ENSG00000080503	ENST00000324954	4.31
ENST00000358026	SMARCA4	NM_001128849.1	ENSG00000127616	ENST00000586921	12.62
ENST00000263121	SMARCB1	NM_003073.3	ENSG00000099956	ENST00000407422	13.99
ENST00000348513	SMARCE1	NM_003079.4	ENSG00000073584	ENST00000578112	19.73
ENST00000402219	SOS1	NM_005633.3	ENSG00000115904	ENST00000426016	6.3
ENST00000375759	SPEN	NM_015001.2	ENSG00000065526	ENST00000487496	10.85
ENST00000504102	SPOP	NM_001007228.1	ENSG00000121067	ENST00000347630	7.51
ENST00000373578	SRC	NM_198291.2	ENSG00000197122	ENST00000358208	18.34
ENST00000392485	SRSF2	NM_003016.4	ENSG00000161547	ENST00000359995	32.59
ENST00000218089	STAG2	NM_001042749.1	ENSG00000101972	ENST00000371157	7.24
ENST00000345506	STAT5A	NM_003152.3	ENSG00000126561	ENST00000588868	5.23
ENST00000375331	STK19	NM_004197.1	ENSG00000204344	ENST00000491861	7.43
ENST00000373129	STK40	NM_032017.1	ENSG00000196182	ENST00000373132	15.39
ENST00000374899	TAP2	NM_018833.2	ENSG00000204267	ENST00000374897	4.65
ENST00000257566	TBX3	NM_016569.3	ENSG00000135111	ENST00000349155	1.67
ENST00000520242	TCEB1	NM_005648.3	ENSG00000154582	ENST00000284811	15.83
ENST00000344749	TCF3	NM_001136139.2	ENSG00000071564	ENST00000262965	2.62
ENST00000543371	TCF7L2	NM_001146274.1	ENSG00000148737	ENST00000369397	3.47
ENST00000310581	TERT	NM_198253.2	ENSG00000164362	ENST00000484238	0.05
ENST00000380013	TET2	NM_001127208.2	ENSG00000168769	ENST00000265149	1.13
ENST00000398585	TMPRSS2	NM_001135099.1	ENSG00000184012	ENST00000332149	79.46
ENST00000264731	TP63	NM_003722.4	ENSG00000073282	ENST00000354600	0.04
ENST00000298552	TSC1	NM_000368.4	ENSG00000165699	ENST00000545250	4.3
ENST00000219476	TSC2	NM_000548.3	ENSG00000103197	ENST00000569110	14.27
ENST00000396444	USP8	NM_005154.3	ENSG00000138592	ENST00000307179	5.57
ENST00000372067	VEGFA	NM_001171623.1	ENSG00000112715	ENST00000497139	17.01
ENST00000256474	VHL	NM_000551.3	ENSG00000134086	ENST00000345392	4.4
ENST00000369458	VTCN1	NM_024626.3	ENSG00000134258	ENST00000328189	0.02
ENST00000529106	WDR74	NM_018093.2	ENSG00000133316	ENST00000278856	10.95
ENST00000508803	WHSC1	NM_001042424.2	ENSG00000109685	ENST00000382891	4.89
ENST00000467467	WWTR1	NM_001168280.1	ENSG00000018408	ENST00000465804	9.0
ENST00000371199	XIAP	NM_001167.3	ENSG00000101966	ENST00000496602	3.91
ENST00000359321	XRCC2	NM_005431.1	ENSG00000196584	ENST00000495707	0.16
ENST00000314574	YES1	NM_005433.3	ENSG00000176105	ENST00000577961	5.48
ENST00000268489	ZFHX3	NM_006885.3	ENSG00000140836	ENST00000397992	1.33
