gene_name	msk_enst	mane_enst	msk_refseq	mane_refseq
GATA3	ENST00000346208.4	ENST00000379328.9	NM_002051.3	NM_001002295.2
GNAS	ENST00000371085.7	ENST00000371085.8	NM_000516.6	NM_000516.7
GSK3B	ENST00000316626.5	ENST00000264235.13	NM_002093.4	NM_001146156.2
H3-3A	ENST00000366815.9	ENST00000366815.10	NM_002107.7	NM_002107.7
HLA-A	ENST00000376802.2	ENST00000376809.10	NM_001242758.1	NM_002116.8
IGF1	ENST00000307046.8	ENST00000337514.11	NM_001111285.3	NM_000618.5
IGF2	ENST00000434045.6	ENST00000416167.7	NM_001127598.3	NM_000612.6
INPP4A	ENST00000074304.9	ENST00000409851.8	NM_001134224.1	NM_001134225.2
IRS1	ENST00000305123.5	ENST00000305123.6	NM_005544.2	NM_005544.3
KDM6A	ENST00000377967.9	ENST00000611820.5	NM_021140.3	NM_001291415.2
MAD2L2	ENST00000376667.7	ENST00000376692.9	NM_001127325.1	NM_006341.4
MEN1	ENST00000312049.10	ENST00000450708.7	NM_130799.2	NM_001370259.2
MET	ENST00000397752.7	ENST00000397752.8	NM_000245.4	NM_000245.4
MITF	ENST00000394351.9	ENST00000352241.9	NM_000248.4	NM_001354604.2
MUTYH	ENST00000672818.2	ENST00000456914.7	NM_001128425.2	NM_001048174.2
MYC	ENST00000621592.7	ENST00000621592.8	NM_002467.6	NM_002467.6
MYCL	ENST00000397332.2	ENST00000372816.3	NM_001033082.3	NM_001033081.3
NADK	ENST00000378625.5	ENST00000341426.9	NM_001198994.2	NM_023018.5
NF1	ENST00000356175.7	ENST00000358273.9	NM_000267.3	NM_001042492.3
NPM1	ENST00000296930.9	ENST00000296930.10	NM_002520.6	NM_002520.7
NTRK1	ENST00000524377.6	ENST00000524377.7	NM_002529.3	NM_002529.4
NTRK2	ENST00000376214.5	ENST00000277120.8	NM_006180.5	NM_006180.6
NUF2	ENST00000367900.7	ENST00000271452.8	NM_031423.4	NM_145697.3
PAK5	ENST00000353224.9	ENST00000353224.10	NM_177990.3	NM_177990.4
PHF6	ENST00000332070.7	ENST00000370803.8	NM_032458.3	NM_001015877.2
PIK3C2G	ENST00000433979.6	ENST00000538779.6	NM_004570.5	NM_001288772.2
PIK3CG	ENST00000359195.3	ENST00000496166.6	NM_002649.3	NM_001282426.2
PPARG	ENST00000287820.10	ENST00000651735.1	NM_015869.5	NM_138711.6
PRKAR1A	ENST00000358598.6	ENST00000589228.6	NM_212471.2	NM_002734.5
RAC1	ENST00000356142.4	ENST00000348035.9	NM_018890.4	NM_006908.5
RAD51D	ENST00000345365.10	ENST00000345365.11	NM_002878.3	NM_002878.4
RAD54L	ENST00000442598.5	ENST00000371975.9	NM_001142548.1	NM_003579.4
RAF1	ENST00000251849.8	ENST00000442415.7	NM_002880.3	NM_001354689.3
RBM10	ENST00000329236.8	ENST00000377604.8	NM_001204468.1	NM_005676.5
REL	ENST00000295025.12	ENST00000394479.4	NM_002908.4	NM_001291746.2
ROS1	ENST00000368508.7	ENST00000368507.8	NM_002944.2	NM_001378902.1
RTEL1	ENST00000508582.6	ENST00000360203.11	NM_032957.5	NM_001283009.2
SMAD2	ENST00000402690.6	ENST00000262160.11	NM_001003652.4	NM_005901.6
SMARCA4	ENST00000646693.1	ENST00000344626.10	NM_001128849.3	NM_003072.5
SOS1	ENST00000402219.7	ENST00000402219.8	NM_005633.3	NM_005633.4
SRSF2	ENST00000392485.2	ENST00000359995.10	NM_003016.4	NM_001195427.2
STAG2	ENST00000218089.13	ENST00000371145.8	NM_001042749.2	NM_001042750.2
STAT5A	ENST00000345506.8	ENST00000590949.6	NM_003152.3	NM_001288718.2
STK40	ENST00000373129.7	ENST00000373132.4	NM_032017.3	NM_001282547.2
TAP1	ENST00000354258.4	ENST00000354258.5	NM_000593.5	NM_000593.6
TAP2	ENST00000652259.1	ENST00000374897.4	NM_018833.2	NM_001290043.2
TBX3	ENST00000257566.7	ENST00000349155.7	NM_016569.4	NM_005996.4
TCF3	ENST00000588136.7	ENST00000262965.12	NM_001136139.4	NM_003200.5
TET2	ENST00000380013.8	ENST00000380013.9	NM_001127208.2	NM_001127208.3
TMPRSS2	ENST00000398585.7	ENST00000332149.10	NM_001135099.1	NM_005656.4
TNFRSF14	ENST00000355716.4	ENST00000355716.5	NM_003820.3	NM_003820.4
TSHR	ENST00000298171.6	ENST00000298171.7	NM_000369.4	NM_000369.5
WDR74	ENST00000529106.5	ENST00000278856.9	NM_018093.3	NM_001369450.1
WT1	ENST00000452863.9	ENST00000452863.10	NM_024426.6	NM_024426.6
