ENST_ID_msk	Gene	RefSeq_ID	ENSG_ID	ENST_ID_tissue	TPM
ENST00000264414	CUL3	NM_003590.4	ENSG00000036257	ENST00000409096	15.455
ENST00000569418	CYLD	NM_001042355.1	ENSG00000083799	ENST00000427738	8.53
ENST00000292782	DCUN1D1	NM_020640.2	ENSG00000043093	ENST00000632685	3.655
ENST00000367921	DDR2	NM_006182.2	ENSG00000162733	ENST00000367922	13.43
ENST00000343455	DICER1	NM_177438.2	ENSG00000100697	ENST00000393063	9.47
ENST00000377767	DIS3	NM_014953.3	ENSG00000083520	ENST00000377780	5.03
ENST00000540357	DNMT1	NM_001379.2	ENSG00000130816	ENST00000591798	12.68
ENST00000321117	DNMT3A	NM_022552.4	ENSG00000119772	ENST00000264709	3.3
ENST00000328111	DNMT3B	NM_006892.3	ENSG00000088305	ENST00000348286	0.415
ENST00000511367	DROSHA	NM_013235.4	ENSG00000113360	ENST00000514927	9.195
ENST00000346618	E2F3	NM_001949.4	ENSG00000112242	ENST00000535432	4.15
ENST00000263360	EED	NM_003797.3	ENSG00000074266	ENST00000528250	4.585
ENST00000371698	EGFL7	NM_201446.2	ENSG00000172889	ENST00000406555	98.01
ENST00000440191	EIF4A2	NM_001967.3	ENSG00000156976	ENST00000323963	84.58500000000001
ENST00000367284	ELF3	NM_004433.4	ENSG00000163435	ENST00000475698	52.23
ENST00000540147	ERBB2	NM_004448.2	ENSG00000141736	ENST00000541774	21.055
ENST00000267101	ERBB3	NM_001982.3	ENSG00000065361	ENST00000549832	10.595
ENST00000342788	ERBB4	NM_005235.2	ENSG00000178568	ENST00000402597	0.23
ENST00000391945	ERCC2	NM_000400.3	ENSG00000104884	ENST00000391942	3.985
ENST00000355739	ERCC5	NM_000123.3	ENSG00000134899	ENST00000472247	27.255
ENST00000222329	ERF	NM_006494.2	ENSG00000105722	ENST00000440177	22.09
ENST00000288319	ERG	NM_182918.3	ENSG00000157554	ENST00000398905	8.42
ENST00000443427	ESR1	NM_001122740.1	ENSG00000091831	ENST00000427531	0.97
ENST00000405192	ETV1	NM_001163147.1	ENSG00000006468	ENST00000405358	8.135000000000002
ENST00000415827	EZH1	NM_001991.3	ENSG00000108799	ENST00000428826	24.385
ENST00000320356	EZH2	NM_004456.4	ENSG00000106462	ENST00000492143	1.535
ENST00000406277	FAM58A	NM_152274.4	ENSG00000262919	ENST00000440428	7.35
ENST00000389301	FANCA	NM_000135.2	ENSG00000187741	ENST00000562424	1.22
ENST00000441802	FAT1	NM_005245.3	ENSG00000083857	ENST00000500085	16.634999999999998
ENST00000281708	FBXW7	NM_033632.3	ENSG00000109670	ENST00000296555	6.085
ENST00000425967	FGFR1	NM_001174067.1	ENSG00000077782	ENST00000326324	15.56
ENST00000358487	FGFR2	NM_000141.4	ENSG00000066468	ENST00000369061	3.23
ENST00000440486	FGFR3	NM_000142.4	ENSG00000068078	ENST00000352904	2.795
ENST00000358575	FIP1L1	NM_001134937.1	ENSG00000145216	ENST00000513008	7.995
ENST00000498215	FOXP1	NM_001244814.1	ENSG00000114861	ENST00000614176	13.85
ENST00000538466	FYN	NM_153047.3	ENSG00000010810	ENST00000368667	28.11
ENST00000228682	GLI1	NM_005269.2	ENSG00000111087	ENST00000543426	0.56
ENST00000371085	GNAS	NM_000516.4	ENSG00000087460	ENST00000480975	179.3
ENST00000389167	GPS2	NM_004489.4	ENSG00000132522	ENST00000380728	17.47
ENST00000300177	GREM1	NM_013372.6	ENSG00000166923	ENST00000560830	0.445
ENST00000330684	GRIN2A	NM_001134407.1	ENSG00000183454	ENST00000396573	0.03
ENST00000254810	H3F3B	NM_005324.3	ENSG00000132475	ENST00000589599	216.4
ENST00000357647	HIST1H3A	NM_003529.2	ENSG00000275714	ENST00000613854	0.16
ENST00000377831	HIST1H3D	NM_003530.4	ENSG00000197409	ENST00000356476	0.7
ENST00000360408	HIST1H3E	NM_003532.2	ENSG00000274750	ENST00000634733	0.41
ENST00000305910	HIST1H3G	NM_003534.2	ENSG00000273983	ENST00000614378	0.03
ENST00000451590	HRAS	NM_005343.2	ENSG00000174775	ENST00000311189	19.885
ENST00000400379	ICOSLG	NM_015259.4	ENSG00000160223	ENST00000407780	2.33
ENST00000330062	IDH2	NM_002168.2	ENSG00000182054	ENST00000540499	21.93
ENST00000268035	IGF1R	NM_000875.3	ENSG00000140443	ENST00000558762	5.215
ENST00000434045	IGF2	NM_001127598.1	ENSG00000167244	ENST00000381395	5.665
ENST00000367120	IKBKE	NM_014002.3	ENSG00000263528	ENST00000581977	3.3
ENST00000331340	IKZF1	NM_006060.4	ENSG00000185811	ENST00000346667	4.255
ENST00000262992	INPP4B	NM_001101669.1	ENSG00000109452	ENST00000513000	2.9450000000000003
ENST00000302850	INSR	NM_000208.2	ENSG00000171105	ENST00000341500	6.82
ENST00000377967	KDM6A	NM_021140.2	ENSG00000147050	ENST00000414389	4.17
ENST00000171111	KEAP1	NM_203500.1	ENSG00000079999	ENST00000393623	18.275
ENST00000374672	KLF4	NM_004235.4	ENSG00000136826	ENST00000497048	40.85
ENST00000377687	KLF5	NM_001730.3	ENSG00000102554	ENST00000539231	13.64
ENST00000607650	KMT2B	NM_014727.3	ENSG00000272333	ENST00000420124	13.54
ENST00000262189	KMT2C	NM_170606.2	ENSG00000055609	ENST00000360104	6.43
ENST00000301067	KMT2D	NM_003482.3	ENSG00000167548	ENST00000526209	17.085
ENST00000249776	KNSTRN	NM_033286.3	ENSG00000128944	ENST00000608100	5.73
ENST00000376667	MAD2L2	NM_001127325.1	ENSG00000116670	ENST00000376692	27.825
ENST00000307102	MAP2K1	NM_002755.3	ENSG00000169032	ENST00000566326	20.92
ENST00000262948	MAP2K2	NM_030662.3	ENSG00000126934	ENST00000394867	39.765
ENST00000399503	MAP3K1	NM_005921.1	ENSG00000095015	ENST00000469188	5.08
ENST00000265026	MAP3K13	NM_004721.4	ENSG00000073803	ENST00000448876	13.88
ENST00000376926	MAP3K14	NM_003954.5	ENSG00000006062	ENST00000344686	7.439999999999999
ENST00000358664	MAX	NM_002382.4	ENSG00000125952	ENST00000358402	30.0
ENST00000462284	MDM2	NM_002392.5	ENSG00000135679	ENST00000540709	15.835
ENST00000367182	MDM4	NM_002393.4	ENSG00000198625	ENST00000462012	4.025
ENST00000424583	MEF2B	NM_001145785.1	ENSG00000213999	ENST00000409224	1.835
ENST00000219905	MGA	NM_001164273.1	ENSG00000174197	ENST00000566586	2.1950000000000003
ENST00000394351	MITF	NM_000248.3	ENSG00000187098	ENST00000328528	3.55
ENST00000372470	MPL	NM_005373.2	ENSG00000117400	ENST00000413998	0.08
ENST00000233146	MSH2	NM_000251.2	ENSG00000095002	ENST00000543555	2.59
ENST00000296474	MST1R	NM_002447.2	ENSG00000164078	ENST00000612032	6.765
ENST00000361445	MTOR	NM_004958.3	ENSG00000198793	ENST00000376838	10.165
ENST00000450313	MUTYH	NM_001128425.1	ENSG00000132781	ENST00000482094	4.29
ENST00000377970	MYC	NM_002467.4	ENSG00000136997	ENST00000524013	16.675
ENST00000281043	MYCN	NM_005378.4	ENSG00000134323	ENST00000638417	0.11
ENST00000378625	NADK	NM_001198994.1	ENSG00000008130	ENST00000341991	32.06
ENST00000268712	NCOR1	NM_006311.3	ENSG00000141027	ENST00000580617	8.15
ENST00000357731	NEGR1	NM_173808.2	ENSG00000172260	ENST00000306821	5.045
ENST00000356175	NF1	NM_000267.3	ENSG00000196712	ENST00000358273	3.76
ENST00000338641	NF2	NM_000268.3	ENSG00000186575	ENST00000413209	2.785
ENST00000397062	NFE2L2	NM_006164.4	ENSG00000116044	ENST00000397063	28.535
ENST00000354822	NKX2-1	NM_001079668.2	ENSG00000136352	ENST00000498187	44.04
ENST00000375023	NOTCH4	NM_004557.3	ENSG00000204301	ENST00000491215	33.135000000000005
ENST00000296930	NPM1	NM_002520.6	ENSG00000181163	ENST00000517671	250.6
ENST00000439151	NSD1	NM_022455.4	ENSG00000165671	ENST00000354179	6.455
ENST00000524377	NTRK1	NM_002529.3	ENSG00000198400	ENST00000530298	0.4
ENST00000376214	NTRK2	NM_006180.3	ENSG00000148053	ENST00000359847	2.01
ENST00000360948	NTRK3	NM_001012338.2	ENSG00000140538	ENST00000317501	3.545
ENST00000261584	PALB2	NM_024675.3	ENSG00000083093	ENST00000566069	2.47
ENST00000394830	PBRM1	NM_018313.4	ENSG00000163939	ENST00000356770	8.5
ENST00000262039	PIK3C3	NM_002647.2	ENSG00000078142	ENST00000588156	6.93
ENST00000289153	PIK3CB	NM_006219.2	ENSG00000051382	ENST00000477593	3.73
ENST00000359195	PIK3CG	NM_002649.2	ENSG00000105851	ENST00000496166	0.78
ENST00000262741	PIK3R3	NM_003629.3	ENSG00000117461	ENST00000372006	9.39
ENST00000359376	PLCG2	NM_002661.3	ENSG00000197943	ENST00000564138	4.315
ENST00000287820	PPARG	NM_015869.4	ENSG00000132170	ENST00000397015	5.32
ENST00000322088	PPP2R1A	NM_014225.5	ENSG00000105568	ENST00000462990	78.575
ENST00000295862	PPP4R2	NM_174907.2	ENSG00000163605	ENST00000356692	13.0
ENST00000369096	PRDM1	NM_001198.3	ENSG00000057657	ENST00000369089	4.27
ENST00000295797	PRKCI	NM_002740.5	ENSG00000163558	ENST00000476635	5.859999999999999
ENST00000331968	PRKD1	NM_002742.2	ENSG00000184304	ENST00000616995	5.355
ENST00000331920	PTCH1	NM_000264.3	ENSG00000185920	ENST00000546744	1.895
ENST00000517309	PTDSS1	NM_014754.1	ENSG00000156471	ENST00000337004	25.635
ENST00000371953	PTEN	NM_000314.4	ENSG00000171862	ENST00000472832	21.25
ENST00000381196	PTPRD	NM_002839.3	ENSG00000153707	ENST00000356435	1.515
ENST00000357368	PTPRS	NM_002850.3	ENSG00000105426	ENST00000592099	9.99
ENST00000373198	PTPRT	NM_133170.3	ENSG00000196090	ENST00000612229	0.12
ENST00000356142	RAC1	NM_018890.3	ENSG00000136238	ENST00000348035	141.15
ENST00000487270	RAD51B	NM_133509.3	ENSG00000182185	ENST00000553334	0.555
ENST00000337432	RAD51C	NM_058216.2	ENSG00000108384	ENST00000421782	3.22
ENST00000345365	RAD51D	NM_002878.3	ENSG00000185379	ENST00000394589	1.815
ENST00000442598	RAD54L	NM_001142548.1	ENSG00000085999	ENST00000371975	0.25
ENST00000254066	RARA	NM_000964.3	ENSG00000131759	ENST00000394081	24.455
ENST00000274376	RASA1	NM_002890.2	ENSG00000145715	ENST00000456692	11.655
ENST00000377604	RBM10	NM_001204468.1	ENSG00000182872	ENST00000628161	13.364999999999998
ENST00000428558	RECQL4	NM_004260.3	ENSG00000160957	ENST00000301323	1.41
ENST00000309042	REST	NM_001193508.1	ENSG00000084093	ENST00000619101	3.0
ENST00000355710	RET	NM_020975.4	ENSG00000165731	ENST00000340058	0.14
ENST00000367669	RFWD2	NM_022457.5	ENSG00000143207	ENST00000482305	8.17
ENST00000262187	RHEB	NM_005614.3	ENSG00000106615	ENST00000472642	68.975
ENST00000577716	RNF43	NM_017763.4	ENSG00000108375	ENST00000407977	0.75
ENST00000306801	RPTOR	NM_020761.2	ENSG00000141564	ENST00000575542	4.08
ENST00000545643	RRAS2	NM_012250.5	ENSG00000133818	ENST00000537760	11.06
ENST00000370018	RTEL1	NM_032957.4	ENSG00000258366	ENST00000360203	4.9
ENST00000437180	RUNX1	NM_001754.4	ENSG00000159216	ENST00000344691	11.58
ENST00000481739	RXRA	NM_002957.4	ENSG00000186350	ENST00000356384	20.015
ENST00000300175	SCG5	NM_001144757.1	ENSG00000166922	ENST00000413748	0.23
ENST00000366541	SDCCAG8	NM_006642.3	ENSG00000054282	ENST00000497459	10.505
ENST00000301761	SDHAF2	NM_017841.2	ENSG00000167985	ENST00000542074	21.255
ENST00000367975	SDHC	NM_003001.3	ENSG00000143252	ENST00000342751	41.415
ENST00000436639	SESN1	NM_014454.2	ENSG00000080546	ENST00000356644	21.1
ENST00000409792	SETD2	NM_014159.6	ENSG00000181555	ENST00000431180	10.605
ENST00000330479	SETD8	NM_020382.3	ENSG00000183955	ENST00000402868	15.605
ENST00000335508	SF3B1	NM_012433.2	ENSG00000115524	ENST00000424674	86.87
ENST00000394566	SLFN11	NM_001104589.1	ENSG00000172716	ENST00000308377	16.015
ENST00000402690	SMAD2	NM_001003652.3	ENSG00000175387	ENST00000586040	18.44
ENST00000342988	SMAD4	NM_005359.5	ENSG00000141646	ENST00000611848	7.26
ENST00000349721	SMARCA2	NM_003070.3	ENSG00000080503	ENST00000636157	9.2
ENST00000358026	SMARCA4	NM_001128849.1	ENSG00000127616	ENST00000586921	18.880000000000003
ENST00000263121	SMARCB1	NM_003073.3	ENSG00000099956	ENST00000407422	18.91
ENST00000348513	SMARCE1	NM_003079.4	ENSG00000073584	ENST00000578112	29.64
ENST00000402219	SOS1	NM_005633.3	ENSG00000115904	ENST00000426016	8.364999999999998
ENST00000375759	SPEN	NM_015001.2	ENSG00000065526	ENST00000487496	23.86
ENST00000504102	SPOP	NM_001007228.1	ENSG00000121067	ENST00000347630	12.665
ENST00000373578	SRC	NM_198291.2	ENSG00000197122	ENST00000358208	15.3
ENST00000218089	STAG2	NM_001042749.1	ENSG00000101972	ENST00000371157	15.545
ENST00000345506	STAT5A	NM_003152.3	ENSG00000126561	ENST00000588868	16.89
ENST00000375331	STK19	NM_004197.1	ENSG00000204344	ENST00000491861	10.48
ENST00000373129	STK40	NM_032017.1	ENSG00000196182	ENST00000373132	31.3
ENST00000374899	TAP2	NM_018833.2	ENSG00000204267	ENST00000374897	18.56
ENST00000257566	TBX3	NM_016569.3	ENSG00000135111	ENST00000349155	21.625
ENST00000520242	TCEB1	NM_005648.3	ENSG00000154582	ENST00000284811	25.19
ENST00000344749	TCF3	NM_001136139.2	ENSG00000071564	ENST00000262965	4.445
ENST00000543371	TCF7L2	NM_001146274.1	ENSG00000148737	ENST00000369397	5.67
ENST00000380013	TET2	NM_001127208.2	ENSG00000168769	ENST00000265149	3.335
ENST00000258439	TMEM127	NM_017849.3	ENSG00000135956	ENST00000432959	16.295
ENST00000398585	TMPRSS2	NM_001135099.1	ENSG00000184012	ENST00000332149	30.825000000000003
ENST00000372090	TOE1	NM_025077.3	ENSG00000132773	ENST00000495703	2.62
ENST00000264731	TP63	NM_003722.4	ENSG00000073282	ENST00000354600	0.285
ENST00000298552	TSC1	NM_000368.4	ENSG00000165699	ENST00000545250	5.5
ENST00000219476	TSC2	NM_000548.3	ENSG00000103197	ENST00000569110	12.11
ENST00000396444	USP8	NM_005154.3	ENSG00000138592	ENST00000307179	8.205
ENST00000256474	VHL	NM_000551.3	ENSG00000134086	ENST00000345392	8.34
ENST00000369458	VTCN1	NM_024626.3	ENSG00000134258	ENST00000328189	0.02
ENST00000529106	WDR74	NM_018093.2	ENSG00000133316	ENST00000278856	10.405
ENST00000508803	WHSC1	NM_001042424.2	ENSG00000109685	ENST00000382891	7.885
ENST00000332351	WT1	NM_024426.4	ENSG00000184937	ENST00000530998	0.01
ENST00000467467	WWTR1	NM_001168280.1	ENSG00000018408	ENST00000465804	31.295
ENST00000371199	XIAP	NM_001167.3	ENSG00000101966	ENST00000496602	5.65
ENST00000359321	XRCC2	NM_005431.1	ENSG00000196584	ENST00000495707	0.22
ENST00000314574	YES1	NM_005433.3	ENSG00000176105	ENST00000577961	8.95
ENST00000268489	ZFHX3	NM_006885.3	ENSG00000140836	ENST00000397992	3.71
