ENST00000263100.8	A1BG	NM_130786.4
ENST00000273596.8	ABHD14A	NM_015407.5
ENST00000361143.10	ABHD14B	NM_001146314.2
ENST00000307201.5	ABHD15	NM_198147.3
ENST00000395952.8	ABHD16A	NM_021160.3
ENST00000369916.5	ABHD16B	NM_080622.4
ENST00000292577.12	ABHD17A	NM_001130111.2
ENST00000333421.7	ABHD17B	NM_001025780.3
ENST00000258884.5	ABHD17C	NM_021214.2
ENST00000645843.2	ABHD18	NM_001358451.3
ENST00000352732.10	ABHD2	NM_152924.5
ENST00000289119.7	ABHD3	NM_138340.5
ENST00000644371.2	ABHD5	NM_016006.6
ENST00000478253.6	ABHD6	NM_001320126.2
ENST00000247706.4	ABHD8	NM_024527.5
ENST00000376140.4	ABI1	NM_001012750.3
ENST00000261018.12	ABI2	NM_001375670.1
ENST00000225941.6	ABI3	NM_016428.3
ENST00000471714.6	ABI3BP	NM_001375547.2
ENST00000322940.11	ABITRAM	NM_017832.4
ENST00000318560.6	ABL1	NM_005157.6
ENST00000502732.6	ABL2	NM_007314.4
ENST00000447017.7	ABLIM2	NM_001130083.2
ENST00000309868.12	ABLIM3	NM_014945.5
ENST00000311955.4	ABRA	NM_139166.5
ENST00000367660.4	ABRACL	NM_021243.3
ENST00000321945.12	ABRAXAS1	NM_139076.3
ENST00000298492.6	ABRAXAS2	NM_032182.4
ENST00000274849.3	ABT1	NM_013375.4
ENST00000232744.13	ABTB1	NM_172027.3
ENST00000435224.3	ABTB2	NM_145804.3
ENST00000333167.13	ACAA1	NM_001607.4
ENST00000285093.15	ACAA2	NM_006111.3
ENST00000616317.5	ACACA	NM_198834.3
ENST00000313698.9	ACAD10	NM_025247.6
ENST00000264990.11	ACAD11	NM_032169.5
ENST00000281182.9	ACAD8	NM_014384.3
ENST00000308982.12	ACAD9	NM_014049.5
ENST00000233710.4	ACADL	NM_001608.4
ENST00000370841.9	ACADM	NM_000016.6
ENST00000242592.9	ACADS	NM_000017.4
ENST00000358776.7	ACADSB	NM_001609.4
ENST00000356839.10	ACADVL	NM_000018.4
ENST00000560601.4	ACAN	NM_001369268.1
ENST00000158762.8	ACAP1	NM_014716.4
ENST00000326793.11	ACAP2	NM_012287.6
ENST00000354700.10	ACAP3	NM_030649.3
ENST00000265838.9	ACAT1	NM_000019.4
ENST00000367048.5	ACAT2	NM_005891.3
ENST00000366812.6	ACBD3	NM_022735.4
ENST00000321854.13	ACBD4	NM_001135705.3
ENST00000396271.8	ACBD5	NM_145698.5
ENST00000367595.4	ACBD6	NM_032360.4
ENST00000356189.6	ACBD7	NM_001039844.3
ENST00000263776.9	ACCS	NM_032592.4
ENST00000378832.1	ACCSL	NM_001031854.2
ENST00000620761.6	ACD	NM_001082486.2
ENST00000290866.10	ACE	NM_000789.4
ENST00000252519.8	ACE2	NM_001371415.1
ENST00000301452.5	ACER1	NM_133492.3
ENST00000340967.3	ACER2	NM_001010887.3
ENST00000532485.6	ACER3	NM_018367.7
ENST00000241069.11	ACHE	NM_000665.5
ENST00000368122.4	ACKR1	NM_002036.4
ENST00000422265.6	ACKR2	NM_001296.5
ENST00000272928.4	ACKR3	NM_020311.3
ENST00000249887.3	ACKR4	NM_016557.4
ENST00000352035.7	ACLY	NM_001096.3
ENST00000356140.10	ACMSD	NM_138326.3
ENST00000309951.8	ACO1	NM_002197.3
ENST00000216254.9	ACO2	NM_001098.3
ENST00000377462.6	ACOD1	NM_001258406.2
ENST00000311148.9	ACOT1	NM_001037161.2
ENST00000343744.7	ACOT11	NM_147161.4
ENST00000307624.8	ACOT12	NM_130767.3
ENST00000230048.5	ACOT13	NM_018473.4
ENST00000238651.10	ACOT2	NM_006821.6
ENST00000326303.5	ACOT4	NM_152331.4
ENST00000645972.2	ACOT6	NM_001365788.1
ENST00000361521.9	ACOT7	NM_007274.4
ENST00000217455.9	ACOT8	NM_005469.4
ENST00000379303.10	ACOT9	NM_001037171.2
ENST00000293217.10	ACOX1	NM_004035.7
ENST00000302819.10	ACOX2	NM_003500.4
ENST00000356406.10	ACOX3	NM_003501.3
ENST00000439055.6	ACOXL	NM_001142807.4
ENST00000272065.10	ACP1	NM_004300.4
ENST00000672073.1	ACP2	NM_001610.4
ENST00000336375.10	ACP3	NM_001099.5
ENST00000270593.2	ACP4	NM_033068.3
ENST00000648477.1	ACP5	NM_001611.5
ENST00000583509.7	ACP6	NM_016361.5
ENST00000331256.10	ACP7	NM_001004318.3
ENST00000216139.10	ACR	NM_001097.3
ENST00000229243.7	ACRBP	NM_032489.3
ENST00000533904.6	ACRV1	NM_001612.6
ENST00000258873.9	ACSBG1	NM_015162.5
ENST00000588485.6	ACSBG2	NM_030924.5
ENST00000300441.9	ACSF2	NM_025149.6
ENST00000614302.5	ACSF3	NM_001243279.3
ENST00000281455.7	ACSL1	NM_001995.5
ENST00000357430.8	ACSL3	NM_004457.5
ENST00000672401.1	ACSL4	NM_001318510.2
ENST00000651883.2	ACSL6	NM_001009185.3
ENST00000573854.6	ACSM2A	NM_001308172.2
ENST00000329697.10	ACSM2B	NM_001105069.2
ENST00000289416.10	ACSM3	NM_005622.4
ENST00000331849.8	ACSM5	NM_017888.3
ENST00000323482.9	ACSS1	NM_032501.4
ENST00000360596.7	ACSS2	NM_018677.4
ENST00000548058.6	ACSS3	NM_024560.4
ENST00000366684.7	ACTA1	NM_001100.4
ENST00000224784.10	ACTA2	NM_001613.4
ENST00000646664.1	ACTB	NM_001101.5
ENST00000423391.3	ACTBL2	NM_001017992.4
ENST00000290378.6	ACTC1	NM_005159.5
ENST00000573283.7	ACTG1	NM_001614.5
ENST00000345517.8	ACTG2	NM_001615.4
ENST00000677665.1	ACTL10	NM_001024675.2
ENST00000429709.7	ACTL6A	NM_004301.5
ENST00000160382.10	ACTL6B	NM_016188.5
ENST00000333999.5	ACTL7A	NM_006687.4
ENST00000374667.5	ACTL7B	NM_006686.4
ENST00000375406.2	ACTL8	NM_030812.3
ENST00000324436.5	ACTL9	NM_178525.5
ENST00000394419.9	ACTN1	NM_001130004.2
ENST00000366578.6	ACTN2	NM_001103.4
ENST00000513398.2	ACTN3	NM_001104.4
ENST00000252699.7	ACTN4	NM_004924.6
ENST00000254286.9	ACTR10	NM_018477.3
ENST00000369905.9	ACTR1A	NM_005736.4
ENST00000289228.7	ACTR1B	NM_005735.4
ENST00000260641.10	ACTR2	NM_005722.4
ENST00000263238.7	ACTR3	NM_005721.5
ENST00000256001.13	ACTR3B	NM_020445.6
ENST00000243903.6	ACTR5	NM_024855.4
ENST00000188312.7	ACTR6	NM_022496.5
ENST00000335754.8	ACTR8	NM_022899.5
ENST00000378404.4	ACTRT2	NM_080431.5
ENST00000330368.3	ACTRT3	NM_032487.5
ENST00000434821.7	ACVR1	NM_001111067.4
ENST00000257963.9	ACVR1B	NM_004302.5
ENST00000243349.13	ACVR1C	NM_145259.3
ENST00000241416.12	ACVR2A	NM_001616.5
ENST00000352511.5	ACVR2B	NM_001106.4
ENST00000388922.9	ACVRL1	NM_000020.3
ENST00000636358.2	ACY1	NM_000666.3
ENST00000255082.8	ACY3	NM_080658.2
ENST00000238618.8	ACYP1	NM_001107.5
ENST00000607452.6	ACYP2	NM_001320586.2
ENST00000372874.9	ADA	NM_000022.4
ENST00000399837.8	ADA2	NM_001282225.2
ENST00000296513.7	ADAD1	NM_139243.4
ENST00000315906.10	ADAD2	NM_001145400.2
ENST00000562188.7	ADAL	NM_001324366.2
ENST00000260408.8	ADAM10	NM_001110.4
ENST00000200557.11	ADAM11	NM_002390.6
ENST00000356955.7	ADAM15	NM_207197.3
ENST00000310823.8	ADAM17	NM_003183.6
ENST00000265707.10	ADAM18	NM_014237.3
ENST00000257527.9	ADAM19	NM_033274.5
ENST00000265708.9	ADAM2	NM_001464.5
ENST00000256389.5	ADAM20	NM_003814.5
ENST00000603540.2	ADAM21	NM_003813.4
ENST00000264377.8	ADAM23	NM_003812.4
ENST00000265769.9	ADAM28	NM_014265.6
ENST00000359240.7	ADAM29	NM_014269.4
ENST00000369400.2	ADAM30	NM_021794.4
ENST00000379907.9	ADAM32	NM_145004.7
ENST00000356518.7	ADAM33	NM_025220.5
ENST00000175238.10	ADAM7	NM_003817.4
ENST00000445355.8	ADAM8	NM_001109.5
ENST00000487273.7	ADAM9	NM_003816.3
ENST00000284984.8	ADAMTS1	NM_006988.5
ENST00000597188.6	ADAMTS10	NM_030957.4
ENST00000504830.6	ADAMTS12	NM_030955.4
ENST00000355699.7	ADAMTS13	NM_139027.6
ENST00000373207.2	ADAMTS14	NM_080722.4
ENST00000274181.7	ADAMTS16	NM_139056.4
ENST00000268070.9	ADAMTS17	NM_139057.4
ENST00000282849.10	ADAMTS18	NM_199355.4
ENST00000274487.9	ADAMTS19	NM_133638.6
ENST00000251582.12	ADAMTS2	NM_014244.5
ENST00000389420.8	ADAMTS20	NM_025003.5
ENST00000286657.10	ADAMTS3	NM_014243.3
ENST00000367996.6	ADAMTS4	NM_005099.6
ENST00000284987.6	ADAMTS5	NM_007038.5
ENST00000381055.8	ADAMTS6	NM_197941.4
ENST00000388820.5	ADAMTS7	NM_014272.5
ENST00000257359.7	ADAMTS8	NM_007037.6
ENST00000498707.5	ADAMTS9	NM_182920.2
ENST00000380548.9	ADAMTSL1	NM_001040272.6
ENST00000651351.2	ADAMTSL2	NM_014694.4
ENST00000286744.10	ADAMTSL3	NM_207517.3
ENST00000271643.9	ADAMTSL4	NM_019032.6
ENST00000330475.9	ADAMTSL5	NM_213604.3
ENST00000265846.10	ADAP1	NM_006869.4
ENST00000330889.8	ADAP2	NM_018404.3
ENST00000368474.9	ADAR	NM_001111.5
ENST00000348831.9	ADARB1	NM_001112.4
ENST00000381312.6	ADARB2	NM_018702.4
ENST00000564657.2	ADAT1	NM_001324445.2
ENST00000237283.9	ADAT2	NM_182503.3
ENST00000329478.4	ADAT3	NM_138422.4
ENST00000238561.10	ADCK1	NM_020421.4
ENST00000072869.9	ADCK2	NM_052853.4
ENST00000308860.11	ADCK5	NM_174922.5
ENST00000297323.12	ADCY1	NM_021116.4
ENST00000367851.9	ADCY10	NM_018417.6
ENST00000338316.9	ADCY2	NM_020546.3
ENST00000679454.1	ADCY3	NM_004036.5
ENST00000418030.7	ADCY4	NM_001198568.2
ENST00000462833.6	ADCY5	NM_183357.3
ENST00000673801.1	ADCY7	NM_001114.5
ENST00000286355.10	ADCY8	NM_001115.3
ENST00000294016.8	ADCY9	NM_001116.4
ENST00000450565.8	ADCYAP1	NM_001099733.2
ENST00000304166.9	ADCYAP1R1	NM_001118.5
ENST00000264436.9	ADD2	NM_001617.4
ENST00000356080.9	ADD3	NM_016824.5
ENST00000397944.8	ADGB	NM_024694.4
ENST00000412232.3	ADGRA2	NM_032777.10
ENST00000334304.10	ADGRA3	NM_145290.4
ENST00000373658.8	ADGRB2	NM_001364857.2
ENST00000370598.6	ADGRB3	NM_001704.3
ENST00000261654.10	ADGRD1	NM_198827.5
ENST00000312053.9	ADGRE1	NM_001974.5
ENST00000315576.8	ADGRE2	NM_013447.4
ENST00000253673.6	ADGRE3	NM_032571.5
ENST00000242786.6	ADGRE5	NM_078481.4
ENST00000371253.7	ADGRF1	NM_153840.4
ENST00000283303.3	ADGRF4	NM_153838.5
ENST00000283296.12	ADGRF5	NM_001098518.2
ENST00000562631.7	ADGRG1	NM_201525.4
ENST00000379869.8	ADGRG2	NM_001079858.3
ENST00000333493.9	ADGRG3	NM_170776.5
ENST00000394143.6	ADGRG4	NM_153834.4
ENST00000349457.8	ADGRG5	NM_001304376.3
ENST00000367609.8	ADGRG6	NM_198569.3
ENST00000273352.8	ADGRG7	NM_032787.3
ENST00000370742.4	ADGRL4	NM_022159.4
ENST00000405460.9	ADGRV1	NM_032119.4
ENST00000209668.3	ADH1A	NM_000667.4
ENST00000305046.13	ADH1B	NM_000668.6
ENST00000515683.6	ADH1C	NM_000669.5
ENST00000265512.12	ADH4	NM_000670.5
ENST00000394899.6	ADH6	NM_001102470.2
ENST00000396623.8	ADHFE1	NM_144650.3
ENST00000327435.11	ADI1	NM_018269.4
ENST00000320741.7	ADIPOQ	NM_004797.4
ENST00000340990.10	ADIPOR1	NM_015999.6
ENST00000357103.5	ADIPOR2	NM_024551.3
ENST00000372013.8	ADIRF	NM_006829.3
ENST00000539909.6	ADK	NM_006721.4
ENST00000278175.10	ADM	NM_001124.3
ENST00000395737.2	ADM2	NM_001253845.2
ENST00000621696.5	ADNP	NM_001282531.3
ENST00000262198.9	ADNP2	NM_014913.4
ENST00000373783.3	ADO	NM_032804.6
ENST00000337894.9	ADORA1	NM_000674.3
ENST00000337539.12	ADORA2A	NM_000675.6
ENST00000241356.5	ADORA3	NM_000677.4
ENST00000379774.5	ADPRM	NM_020233.5
ENST00000373178.5	ADPRS	NM_017825.3
ENST00000380573.4	ADRA1A	NM_000680.4
ENST00000306675.5	ADRA1B	NM_000679.4
ENST00000379453.6	ADRA1D	NM_000678.4
ENST00000280155.4	ADRA2A	NM_000681.4
ENST00000620793.2	ADRA2B	NM_000682.7
ENST00000330055.7	ADRA2C	NM_000683.4
ENST00000369295.4	ADRB1	NM_000684.3
ENST00000305988.6	ADRB2	NM_000024.6
ENST00000345060.5	ADRB3	NM_000025.3
ENST00000253003.7	ADRM1	NM_007002.4
ENST00000623063.3	ADSL	NM_000026.4
ENST00000330877.7	ADSS1	NM_152328.5
ENST00000366535.4	ADSS2	NM_001126.5
ENST00000414691.8	ADTRP	NM_032744.4
ENST00000223357.8	AEBP1	NM_001129.5
ENST00000266508.14	AEBP2	NM_153207.5
ENST00000332810.4	AEN	NM_022767.4
ENST00000296721.9	AFAP1L1	NM_152406.4
ENST00000304129.9	AFAP1L2	NM_001001936.3
ENST00000370460.7	AFF2	NM_002025.4
ENST00000672756.2	AFF3	NM_001386135.1
ENST00000265343.10	AFF4	NM_014423.4
ENST00000368977.9	AFG1L	NM_145315.5
ENST00000269143.8	AFG3L2	NM_006796.3
ENST00000226355.5	AFM	NM_001133.2
ENST00000395792.7	AFP	NM_001134.3
ENST00000264595.7	AGA	NM_000027.4
ENST00000304032.13	AGAP1	NM_001037131.3
ENST00000397238.7	AGAP3	NM_031946.7
ENST00000452145.6	AGAP9	NM_001190810.1
ENST00000614907.3	AGBL1	NM_001386094.1
ENST00000525123.6	AGBL2	NM_024783.4
ENST00000436302.6	AGBL3	NM_178563.4
ENST00000371839.6	AGBL4	NM_032785.4
ENST00000360131.5	AGBL5	NM_021831.6
ENST00000375076.9	AGER	NM_001136.5
ENST00000310078.13	AGFG1	NM_004504.5
ENST00000300176.9	AGFG2	NM_006076.5
ENST00000312916.12	AGGF1	NM_018046.5
ENST00000649286.2	AGK	NM_018238.4
ENST00000361915.8	AGL	NM_000642.3
ENST00000375826.4	AGMAT	NM_024758.5
ENST00000342526.8	AGMO	NM_001004320.2
ENST00000373204.6	AGO1	NM_012199.5
ENST00000220592.10	AGO2	NM_012154.5
ENST00000373191.9	AGO3	NM_024852.4
ENST00000373210.4	AGO4	NM_017629.4
ENST00000375107.8	AGPAT1	NM_006411.4
ENST00000371696.7	AGPAT2	NM_006412.4
ENST00000291572.13	AGPAT3	NM_020132.5
ENST00000320285.9	AGPAT4	NM_020133.3
ENST00000285518.11	AGPAT5	NM_018361.5
ENST00000264167.11	AGPS	NM_003659.4
ENST00000419304.7	AGR2	NM_006408.4
ENST00000310398.7	AGR3	NM_176813.5
ENST00000379370.7	AGRN	NM_198576.4
ENST00000290953.3	AGRP	NM_001138.2
ENST00000366667.6	AGT	NM_001384479.1
ENST00000357081.8	AGTPBP1	NM_001330701.2
ENST00000349243.8	AGTR1	NM_000685.5
ENST00000371906.5	AGTR2	NM_000686.5
ENST00000314340.10	AGTRAP	NM_020350.5
ENST00000307503.4	AGXT	NM_000030.3
ENST00000231420.11	AGXT2	NM_031900.4
ENST00000648844.2	AHCTF1	NM_001323342.2
ENST00000217426.7	AHCY	NM_000687.4
ENST00000369799.10	AHCYL1	NM_006621.7
ENST00000673934.1	AHDC1	NM_001371928.1
ENST00000265602.11	AHI1	NM_001134831.2
ENST00000378024.9	AHNAK	NM_001620.3
ENST00000333244.6	AHNAK2	NM_138420.4
ENST00000242057.9	AHR	NM_001621.5
ENST00000216479.8	AHSA1	NM_012111.3
ENST00000411641.7	AHSG	NM_001622.4
ENST00000302312.9	AHSP	NM_016633.4
ENST00000229335.11	AICDA	NM_020661.4
ENST00000340020.11	AIDA	NM_022831.4
ENST00000376059.8	AIF1	NM_001623.5
ENST00000247291.8	AIF1L	NM_031426.4
ENST00000287295.8	AIFM1	NM_004208.4
ENST00000307864.3	AIFM2	NM_032797.6
ENST00000357847.9	AIG1	NM_016108.4
ENST00000368130.9	AIM2	NM_004833.3
ENST00000672341.1	AIMP1	NM_001142416.2
ENST00000223029.8	AIMP2	NM_006303.4
ENST00000279146.8	AIP	NM_003977.4
ENST00000381129.8	AIPL1	NM_014336.5
ENST00000291582.6	AIRE	NM_000383.4
ENST00000378191.5	AJAP1	NM_018836.4
ENST00000262713.7	AJUBA	NM_032876.6
ENST00000644144.2	AK1	NM_000476.3
ENST00000672715.1	AK2	NM_001625.4
ENST00000381809.8	AK3	NM_016282.4
ENST00000327299.8	AK4	NM_013410.4
ENST00000354567.7	AK5	NM_174858.3
ENST00000380822.9	AK6	NM_016283.5
ENST00000267584.9	AK7	NM_152327.5
ENST00000298545.4	AK8	NM_152572.3
ENST00000434239.4	AKAIN1	NM_001145194.2
ENST00000337714.8	AKAP1	NM_003488.4
ENST00000225737.11	AKAP10	NM_007202.4
ENST00000025301.4	AKAP11	NM_016248.4
ENST00000402676.7	AKAP12	NM_005100.4
ENST00000394518.7	AKAP13	NM_007200.5
ENST00000371431.8	AKAP14	NM_178813.6
ENST00000313871.9	AKAP17A	NM_005088.3
ENST00000228850.6	AKAP3	NM_001278309.2
ENST00000358526.7	AKAP4	NM_003886.3
ENST00000394718.4	AKAP5	NM_004857.3
ENST00000280979.9	AKAP6	NM_004274.5
ENST00000269701.7	AKAP8	NM_005858.4
ENST00000397410.10	AKAP8L	NM_014371.4
ENST00000356239.8	AKAP9	NM_005751.5
ENST00000309377.9	AKIP1	NM_020642.4
ENST00000432648.8	AKIRIN1	NM_024595.3
ENST00000257787.6	AKIRIN2	NM_018064.4
ENST00000374088.8	AKNA	NM_001317950.2
ENST00000370001.8	AKNAD1	NM_152763.5
ENST00000351829.9	AKR1A1	NM_153326.3
ENST00000285930.9	AKR1B1	NM_001628.4
ENST00000359579.5	AKR1B10	NM_020299.5
ENST00000457545.7	AKR1B15	NM_001080538.3
ENST00000380872.9	AKR1C1	NM_001353.6
ENST00000380554.5	AKR1C3	NM_003739.6
ENST00000263126.3	AKR1C4	NM_001818.5
ENST00000242375.8	AKR1D1	NM_005989.4
ENST00000298375.12	AKR1E2	NM_001040177.3
ENST00000235835.8	AKR7A2	NM_003689.4
ENST00000361640.5	AKR7A3	NM_012067.3
ENST00000649815.2	AKT1	NM_001382430.1
ENST00000344175.10	AKT1S1	NM_001098633.4
ENST00000392038.7	AKT2	NM_001626.6
ENST00000673466.1	AKT3	NM_005465.7
ENST00000394657.12	AKTIP	NM_022476.4
ENST00000409155.8	ALAD	NM_000031.6
ENST00000484952.6	ALAS1	NM_000688.6
ENST00000650242.1	ALAS2	NM_000032.5
ENST00000295897.9	ALB	NM_000477.7
ENST00000306107.9	ALCAM	NM_001627.4
ENST00000293350.9	ALDH16A1	NM_153329.4
ENST00000371224.7	ALDH18A1	NM_002860.4
ENST00000297785.8	ALDH1A1	NM_000689.5
ENST00000249750.9	ALDH1A2	NM_003888.4
ENST00000329841.10	ALDH1A3	NM_000693.4
ENST00000377698.4	ALDH1B1	NM_000692.5
ENST00000393434.7	ALDH1L1	NM_012190.4
ENST00000258494.14	ALDH1L2	NM_001034173.4
ENST00000261733.7	ALDH2	NM_000690.4
ENST00000225740.11	ALDH3A1	NM_000691.5
ENST00000176643.11	ALDH3A2	NM_000382.3
ENST00000342456.11	ALDH3B1	NM_000694.4
ENST00000375341.8	ALDH4A1	NM_003748.4
ENST00000357578.8	ALDH5A1	NM_001080.3
ENST00000553458.6	ALDH6A1	NM_005589.4
ENST00000409134.8	ALDH7A1	NM_001182.5
ENST00000265605.7	ALDH8A1	NM_022568.4
ENST00000642816.3	ALDOA	NM_001243177.4
ENST00000647789.2	ALDOB	NM_000035.4
ENST00000226253.9	ALDOC	NM_005165.3
ENST00000262374.10	ALG1	NM_019109.5
ENST00000266483.7	ALG10	NM_032834.4
ENST00000308742.9	ALG10B	NM_001013620.4
ENST00000521508.2	ALG11	NM_001004127.3
ENST00000330817.11	ALG12	NM_024105.4
ENST00000394780.8	ALG13	NM_001099922.3
ENST00000370205.6	ALG14	NM_144988.4
ENST00000425059.1	ALG1L2	NM_001136152.1
ENST00000476832.2	ALG2	NM_033087.4
ENST00000397676.8	ALG3	NM_005787.6
ENST00000239891.4	ALG5	NM_013338.5
ENST00000263440.6	ALG6	NM_013339.4
ENST00000299626.10	ALG8	NM_024079.5
ENST00000616540.5	ALG9	NM_024740.2
ENST00000389048.8	ALK	NM_004304.5
ENST00000358543.9	ALKAL1	NM_207413.4
ENST00000403610.9	ALKAL2	NM_001002919.3
ENST00000216489.8	ALKBH1	NM_006020.3
ENST00000429722.3	ALKBH2	NM_001145374.2
ENST00000302708.9	ALKBH3	NM_139178.4
ENST00000292566.4	ALKBH4	NM_017621.4
ENST00000399138.5	ALKBH5	NM_017758.4
ENST00000245812.8	ALKBH7	NM_032306.4
ENST00000428149.7	ALKBH8	NM_138775.3
ENST00000252505.4	ALLC	NM_018436.4
ENST00000613296.6	ALMS1	NM_001378454.1
ENST00000251535.11	ALOX12	NM_000697.3
ENST00000647874.1	ALOX12B	NM_001139.3
ENST00000293761.8	ALOX15	NM_001140.5
ENST00000380183.9	ALOX15B	NM_001141.3
ENST00000374391.7	ALOX5	NM_000698.5
ENST00000380490.5	ALOX5AP	NM_001629.4
ENST00000448843.7	ALOXE3	NM_021628.3
ENST00000295453.8	ALPG	NM_031313.3
ENST00000295463.4	ALPI	NM_001631.5
ENST00000650871.1	ALPK1	NM_025144.4
ENST00000361673.4	ALPK2	NM_052947.4
ENST00000258888.6	ALPK3	NM_020778.5
ENST00000374840.8	ALPL	NM_000478.6
ENST00000392027.3	ALPP	NM_001632.5
ENST00000264276.11	ALS2	NM_020919.4
ENST00000318962.9	ALS2CL	NM_147129.5
ENST00000316824.4	ALX1	NM_006982.3
ENST00000647563.2	ALX3	NM_006492.3
ENST00000652299.1	ALX4	NM_021926.4
ENST00000505490.3	ALYREF	NM_005782.4
ENST00000335606.11	AMACR	NM_014324.6
ENST00000322937.10	AMBN	NM_016519.6
ENST00000265132.8	AMBP	NM_001633.4
ENST00000266736.7	AMDHD1	NM_152435.3
ENST00000293971.11	AMDHD2	NM_001330449.2
ENST00000380714.7	AMELX	NM_001142.2
ENST00000374869.8	AMER1	NM_152424.4
ENST00000515384.2	AMER2	NM_152704.4
ENST00000321420.5	AMER3	NM_152698.3
ENST00000290649.10	AMFR	NM_001144.6
ENST00000221496.5	AMH	NM_000479.5
ENST00000257863.9	AMHR2	NM_020547.3
ENST00000369864.5	AMIGO1	NM_020703.4
ENST00000550413.2	AMIGO2	NM_001370299.1
ENST00000320431.8	AMIGO3	NM_198722.3
ENST00000262844.10	AMMECR1	NM_015365.3
ENST00000272647.10	AMMECR1L	NM_001199140.2
ENST00000299155.10	AMN	NM_030943.4
ENST00000281471.11	AMN1	NM_001113402.2
ENST00000433060.3	AMOTL1	NM_130847.3
ENST00000249883.10	AMOTL2	NM_016201.4
ENST00000528667.7	AMPD2	NM_001368809.2
ENST00000356264.7	AMPH	NM_001635.4
ENST00000273588.9	AMT	NM_000481.4
ENST00000339336.9	AMTN	NM_212557.4
ENST00000359904.8	AMZ2	NM_016627.5
ENST00000341068.8	ANAPC1	NM_022662.4
ENST00000507656.6	ANAPC10	NM_001256706.2
ENST00000344877.10	ANAPC11	NM_001002248.3
ENST00000354910.10	ANAPC13	NM_015391.4
ENST00000299381.5	ANAPC16	NM_173473.4
ENST00000323927.3	ANAPC2	NM_013366.4
ENST00000315368.8	ANAPC4	NM_013367.3
ENST00000261819.8	ANAPC5	NM_016237.5
